county,date,customers_out
Franklin,2021-01-08,109
Gibson,2021-01-08,4
Giles,2021-01-08,66
Grainger,2021-01-08,0
Greene,2021-01-08,1087
Grundy,2021-01-08,17
Hamblen,2021-01-08,1
Hamilton,2021-01-08,1
Hancock,2021-01-08,49
Hawkins,2021-01-08,156
Henderson,2021-01-08,1
Henry,2021-01-08,6
Jefferson,2021-01-08,61
Knox,2021-01-08,286
Lawrence,2021-01-08,3
Loudon,2021-01-08,1
Macon,2021-01-08,1
Madison,2021-01-08,2
Marion,2021-01-08,2
Marshall,2021-01-08,60
Maury,2021-01-08,648
McMinn,2021-01-08,1
Meigs,2021-01-08,1
Montgomery,2021-01-08,77
Pickett,2021-01-08,1
Roane,2021-01-08,4
Robertson,2021-01-08,1
Rutherford,2021-01-08,5
Scott,2021-01-08,0
Sequatchie,2021-01-08,5
Sevier,2021-01-08,22
Shelby,2021-01-08,1028
Stewart,2021-01-08,1
Sullivan,2021-01-08,241
Sumner,2021-01-08,14
Tipton,2021-01-08,2
Union,2021-01-08,28
Washington,2021-01-08,107
Williamson,2021-01-08,176
Wilson,2021-01-08,2
Anderson,2021-01-09,2
Bedford,2021-01-09,0
Blount,2021-01-09,25
Bradley,2021-01-09,10
Campbell,2021-01-09,27
Cheatham,2021-01-09,2
Claiborne,2021-01-09,3
Cocke,2021-01-09,14
Coffee,2021-01-09,3
Crockett,2021-01-09,4
Davidson,2021-01-09,595
Fentress,2021-01-09,2
Franklin,2021-01-09,4
Gibson,2021-01-09,1
Giles,2021-01-09,6
Greene,2021-01-09,1
Grundy,2021-01-09,0
Hamblen,2021-01-09,0
Hamilton,2021-01-09,3
Hancock,2021-01-09,1
Hawkins,2021-01-09,1
Henry,2021-01-09,128
Jefferson,2021-01-09,3
Knox,2021-01-09,59
Lawrence,2021-01-09,1
Lewis,2021-01-09,0
Lincoln,2021-01-09,0
Madison,2021-01-09,37
Marion,2021-01-09,1
Marshall,2021-01-09,4
Maury,2021-01-09,0
Montgomery,2021-01-09,23
Moore,2021-01-09,2
Obion,2021-01-09,9
Pickett,2021-01-09,0
Polk,2021-01-09,1
Roane,2021-01-09,1
Robertson,2021-01-09,1
Rutherford,2021-01-09,2
Scott,2021-01-09,0
Sequatchie,2021-01-09,1
Sevier,2021-01-09,12
Shelby,2021-01-09,59
Sullivan,2021-01-09,6
Sumner,2021-01-09,5
Tipton,2021-01-09,1
Union,2021-01-09,47
Washington,2021-01-09,57
Williamson,2021-01-09,6
Wilson,2021-01-09,4
Anderson,2021-01-10,3
Blount,2021-01-10,2
Bradley,2021-01-10,54
Campbell,2021-01-10,20
Cheatham,2021-01-10,1
Chester,2021-01-10,3
