table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,
"Annual Estimates of the Resident Population for Incorporated Places in Tennessee: April 1, 2020 to July 1, 2024",,,,,,
Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,
"Petersburg town, Tennessee",527,527,533,541,550,559
"Philadelphia city, Tennessee",607,610,629,639,665,682
"Pigeon Forge city, Tennessee","6,406","6,402","6,355","6,220","6,389","6,446"
"Pikeville city, Tennessee","1,822","1,826","1,833","1,818","1,838","1,879"
"Piperton city, Tennessee","2,264","2,303","2,493","2,602","2,683","2,766"
"Pittman Center town, Tennessee",459,459,464,463,463,464
"Plainview city, Tennessee","2,059","2,065","2,095","2,149","2,181","2,226"
"Pleasant Hill town, Tennessee",543,543,538,553,549,551
"Pleasant View city, Tennessee","4,820","4,872","5,109","5,277","5,482","5,629"
"Portland city, Tennessee","13,136","13,213","13,362","13,542","13,636","13,651"
"Powells Crossroads town, Tennessee","1,297","1,296","1,290","1,273","1,280","1,294"
"Pulaski city, Tennessee","8,396","8,381","8,246","8,268","8,302","8,241"
"Puryear city, Tennessee",707,705,711,711,711,715
"Ramer city, Tennessee",327,327,327,327,327,325
"Red Bank city, Tennessee","11,899","11,926","11,971","11,982","12,089","12,073"
"Red Boiling Springs city, Tennessee","1,210","1,208","1,206","1,204","1,220","1,214"
"Ridgely town, Tennessee","1,688","1,683","1,721","1,665","1,633","1,666"
"Ridgeside city, Tennessee",447,447,448,449,448,444
"Ridgetop city, Tennessee","2,106","2,105","2,096","2,095","2,133","2,143"
"Ripley city, Tennessee","7,806","7,795","7,755","7,629","7,615","7,546"
"Rives town, Tennessee",247,247,245,246,246,246
"Rockford city, Tennessee",845,845,843,846,840,841
"Rockwood city, Tennessee","5,438","5,444","5,481","5,565","5,630","5,684"
"Rocky Top city, Tennessee","1,625","1,628","1,616","1,626","1,637","1,664"
"Rogersville town, Tennessee","4,670","4,663","4,614","4,601","4,634","4,720"
"Rossville town, Tennessee","1,047","1,060","1,105","1,127","1,168","1,183"
"Rutherford town, Tennessee","1,159","1,158","1,150","1,147","1,145","1,149"
"Rutledge town, Tennessee","1,326","1,327","1,325","1,265","1,334","1,348"
"St. Joseph city, Tennessee",790,790,800,810,817,820
"Saltillo town, Tennessee",422,421,423,426,429,430
"Samburg town, Tennessee",207,207,205,198,200,198
"Sardis town, Tennessee",413,413,416,415,418,420
"Saulsbury town, Tennessee",109,109,110,110,109,108
"Savannah city, Tennessee","7,363","7,358","7,299","7,388","7,470","7,565"
"Scotts Hill town, Tennessee",869,868,871,877,886,891
"Selmer town, Tennessee","4,470","4,469","4,454","4,468","4,481","4,590"
"Sevierville city, Tennessee","18,179","18,462","18,564","18,275","18,473","18,231"
"Sharon town, Tennessee",925,925,924,923,914,914
"Shelbyville city, Tennessee","23,582","23,652","24,069","24,555","25,282","25,792"
"Signal Mountain town, Tennessee","8,848","8,854","8,849","8,863","8,898","8,877"
"Silerton town, Tennessee",99,99,99,98,98,97
"Slayden town, Tennessee",174,174,179,178,180,182
"Smithville city, Tennessee","5,009","5,044","5,138","5,304","5,420","5,546"
"Smyrna town, Tennessee","53,106","53,515","55,455","56,596","57,639","60,302"
"Sneedville town, Tennessee","1,278","1,272","1,294","1,309","1,355","1,344"
"Soddy-Daisy city, Tennessee","13,069","13,052","13,150","13,206","13,327","13,430"
"Somerville town, Tennessee","3,425","3,427","3,432","3,412","3,519","3,523"
"South Carthage town, Tennessee","1,483","1,486","1,528","1,546","1,575","1,584"
"South Fulton city, Tennessee","2,241","2,238","2,215","2,199","2,196","2,177"
"South Pittsburg city, Tennessee","3,094","3,089","3,054","3,004","2,975","2,969"
"Sparta city, Tennessee","5,013","5,021","4,876","4,878","4,933","4,989"
"Spencer city, Tennessee","1,462","1,463","1,493","1,525","1,558","1,590"
"Spring City town, Tennessee","1,947","1,944","1,931","1,935","1,953","1,996"
"Springfield city, Tennessee","18,786","18,809","18,936","19,172","19,515","19,842"
"Spring Hill city, Tennessee","50,687","51,313","54,199","56,118","57,749","59,398"
"Stanton town, Tennessee",420,419,419,419,416,415
"Stantonville town, Tennessee",335,335,337,340,341,342
"Sunbright city, Tennessee",523,523,528,532,538,543
"Surgoinsville town, Tennessee","1,879","1,879","1,891","1,905","1,915","1,930"
