county,date,customers_out
Meigs,2021-01-10,1.0
Meigs,2021-01-11,1.0
Monroe,2021-01-10,6.0
Monroe,2021-01-11,5.0
Montgomery,2021-01-08,77.0
Montgomery,2021-01-09,23.0
Montgomery,2021-01-10,112.0
Montgomery,2021-01-11,31.0
Montgomery,2021-01-12,18.0
Moore,2021-01-09,2.0
Morgan,2021-01-11,
Obion,2021-01-09,9.0
Obion,2021-01-11,9.0
Overton,2021-01-11,
Pickett,2021-01-07,
Pickett,2021-01-08,1.0
Pickett,2021-01-09,
Pickett,2021-01-10,
Pickett,2021-01-11,
Pickett,2021-01-12,
Polk,2021-01-09,1.0
Polk,2021-01-11,
Putnam,2021-01-11,
Rhea,2021-01-11,
Rhea,2021-01-12,7.0
Roane,2021-01-08,4.0
Roane,2021-01-09,1.0
Roane,2021-01-11,
Robertson,2021-01-08,1.0
Robertson,2021-01-09,1.0
Robertson,2021-01-11,24.0
Rutherford,2021-01-08,5.0
Rutherford,2021-01-09,2.0
Rutherford,2021-01-10,4.0
Rutherford,2021-01-11,6.0
Rutherford,2021-01-12,17.0
Scott,2021-01-07,
Scott,2021-01-08,
Scott,2021-01-09,
Scott,2021-01-10,
Scott,2021-01-11,
Scott,2021-01-12,
Sequatchie,2021-01-08,5.0
Sequatchie,2021-01-09,1.0
Sequatchie,2021-01-10,3.0
Sequatchie,2021-01-11,
Sevier,2021-01-08,22.0
Sevier,2021-01-09,12.0
Sevier,2021-01-10,15.0
Sevier,2021-01-11,32.0
Sevier,2021-01-12,56.0
Shelby,2021-01-07,2.0
Shelby,2021-01-08,1028.0
Shelby,2021-01-09,59.0
Shelby,2021-01-10,700.0
Shelby,2021-01-11,51.0
Shelby,2021-01-12,79.0
Smith,2021-01-11,
Stewart,2021-01-08,1.0
Stewart,2021-01-11,1.0
Stewart,2021-01-12,2.0
Sullivan,2021-01-08,241.0
Sullivan,2021-01-09,6.0
Sullivan,2021-01-10,86.0
Sullivan,2021-01-11,15.0
Sullivan,2021-01-12,5.0
Sumner,2021-01-08,14.0
Sumner,2021-01-09,5.0
Sumner,2021-01-11,14.0
Tipton,2021-01-08,2.0
Tipton,2021-01-09,1.0
Tipton,2021-01-12,5.0
Trousdale,2021-01-11,
Union,2021-01-08,28.0
Union,2021-01-09,47.0
Union,2021-01-10,2.0
Union,2021-01-11,2.0
Union,2021-01-12,
Van Buren,2021-01-11,
Warren,2021-01-11,
Washington,2021-01-08,107.0
Washington,2021-01-09,57.0
Washington,2021-01-10,4.0
Washington,2021-01-11,9.0
Washington,2021-01-12,1.0
White,2021-01-10,1.0
White,2021-01-11,
Williamson,2021-01-07,27.0
Williamson,2021-01-08,176.0
Williamson,2021-01-09,6.0
Williamson,2021-01-10,8.0
Williamson,2021-01-11,6.0
Williamson,2021-01-12,4.0
Wilson,2021-01-08,2.0
Wilson,2021-01-09,4.0
Wilson,2021-01-11,1026.0
Wilson,2021-01-12,1.0
Anderson,2021-01-12,
Anderson,2021-01-13,
Anderson,2021-01-14,
Bedford,2021-01-12,4.0
Bedford,2021-01-13,5.0
Bedford,2021-01-14,5.0
Bedford,2021-01-15,10.0
Bledsoe,2021-01-14,24.0
Blount,2021-01-12,25.0
Blount,2021-01-13,9.0
Blount,2021-01-14,33.0
Blount,2021-01-15,1.0
Bradley,2021-01-13,1.0
Bradley,2021-01-14,8.0
Campbell,2021-01-12,128.0
Campbell,2021-01-13,23.0
Campbell,2021-01-14,88.0
Campbell,2021-01-15,28.0
Cannon,2021-01-12,3.0
Cannon,2021-01-13,1.0
Cannon,2021-01-14,1.0
Cannon,2021-01-15,1.0
Cheatham,2021-01-12,1.0
Cheatham,2021-01-13,5.0
Cheatham,2021-01-14,6.0
Cheatham,2021-01-15,
Chester,2021-01-12,2.0
Claiborne,2021-01-12,5.0
Claiborne,2021-01-13,43.0
Claiborne,2021-01-14,14.0
Claiborne,2021-01-15,21.0
Clay,2021-01-13,16.0
Clay,2021-01-14,45.0
Cocke,2021-01-12,12.0
Cocke,2021-01-13,21.0
Cocke,2021-01-14,8.0
Cocke,2021-01-15,10.0
Coffee,2021-01-12,2.0
Coffee,2021-01-13,5.0
Coffee,2021-01-14,87.0
Coffee,2021-01-15,23.0
Crockett,2021-01-14,8.0
Cumberland,2021-01-12,1.0
Cumberland,2021-01-13,1.0
Cumberland,2021-01-14,1.0
Cumberland,2021-01-15,9.0
Davidson,2021-01-12,81.0
Davidson,2021-01-13,155.0
Davidson,2021-01-14,937.0
Davidson,2021-01-15,111.0
DeKalb,2021-01-12,
DeKalb,2021-01-13,2.0
Dickson,2021-01-12,
Fayette,2021-01-12,3.0
Fayette,2021-01-13,1.0
Fayette,2021-01-14,27.0
Fayette,2021-01-15,6.0
Fentress,2021-01-12,6.0
