Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,source_year,Event Month,event_start,event_end,duration_hours
February,02/26/2022,11:15:00,02/26/2022,17:00:00,Washington: Grant County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Actual Physical Attack,0,0,2022,,2022-02-26 11:15:00-06:00,2022-02-26 17:00:00-06:00,5.75
February,02/28/2022,09:25:00,02/28/2022,09:26:00,Texas: Mitchell County;,TRE, Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2022,,2022-02-28 09:25:00-06:00,2022-02-28 09:26:00-06:00,0.016666666666666666
March,03/01/2022,13:43:00,03/01/2022,13:47:00,"Indiana: Marion County, Shelby County, Hendricks County;",RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0,2022,,2022-03-01 13:43:00-06:00,2022-03-01 13:47:00-06:00,0.06666666666666667
March,03/02/2022,09:26:00,03/02/2022,10:05:00,North Carolina: South Carolina:,SERC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-03-02 09:26:00-06:00,2022-03-02 10:05:00-06:00,0.65
March,03/05/2022,22:58:00,03/06/2022,19:38:00,Illinois: DuPage County;,SERC/RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0,2022,,2022-03-05 22:58:00-06:00,2022-03-06 19:38:00-06:00,20.666666666666668
March,03/06/2022,02:30:00,03/06/2022,17:00:00,Texas: Cameron County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,0,0,2022,,2022-03-06 02:30:00-06:00,2022-03-06 17:00:00-06:00,14.5
March,03/08/2022,13:50:00,03/08/2022,14:39:00,Georgia: Terrell County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,48,5855,2022,,2022-03-08 13:50:00-06:00,2022-03-08 14:39:00-06:00,0.8166666666666667
March,03/10/2022,08:51:00,03/10/2022,15:15:00,Nebraska: Scotts Bluff County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2022,,2022-03-10 08:51:00-06:00,2022-03-10 15:15:00-06:00,6.4
March,03/11/2022,06:35:00,03/11/2022,07:00:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-03-11 06:35:00-06:00,2022-03-11 07:00:00-06:00,0.4166666666666667
March,03/12/2022,08:33:00,Unknown,Unknown,Alabama: Georgia: Mississippi: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,139,19380,2022,,2022-03-12 08:33:00-06:00,,
March,03/13/2022,22:15:00,03/13/2022,22:38:00,Minnesota: Hennepin County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2022,,2022-03-13 22:15:00-05:00,2022-03-13 22:38:00-05:00,0.38333333333333336
March,03/14/2022,09:30:00,03/14/2022,10:45:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0,2022,,2022-03-14 09:30:00-05:00,2022-03-14 10:45:00-05:00,1.25
March,03/14/2022,15:45:00,Unknown,Unknown,New Jersey:,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown,2022,,2022-03-14 15:45:00-05:00,,
March,03/15/2022,18:53:00,03/15/2022,20:33:00,California: Lake County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,10,3958,2022,,2022-03-15 18:53:00-05:00,2022-03-15 20:33:00-05:00,1.6666666666666667
March,03/15/2022,11:11:00,03/15/2022,11:47:00,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-03-15 11:11:00-05:00,2022-03-15 11:47:00-05:00,0.6
March,03/16/2022,11:28:00,03/16/2022,11:29:00,California: Sacramento County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2022,,2022-03-16 11:28:00-05:00,2022-03-16 11:29:00-05:00,0.016666666666666666
