Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,source_year,Event Month,event_start,event_end,duration_hours
September,09/04/2022,16:00:00,09/06/2022,08:00:00,"Texas: Tarrant County, Collin County, Dallas County, Ellis County, Kaufman County, Rockwall County, Williamson County, Denton County, Archer County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,190000,2022,,2022-09-04 16:00:00-05:00,2022-09-06 08:00:00-05:00,40.0
September,09/04/2022,18:50:00,09/05/2022,02:45:00,California: Kings County;,WECC,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,0,0,2022,,2022-09-04 18:50:00-05:00,2022-09-05 02:45:00-05:00,7.916666666666667
September,09/05/2022,06:05:00,09/05/2022,21:00:00,California: Sacramento County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,Unknown,0,2022,,2022-09-05 06:05:00-05:00,2022-09-05 21:00:00-05:00,14.916666666666666
September,09/06/2022,16:30:00,09/07/2022,00:30:00,California: San Diego County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,2022,,2022-09-06 16:30:00-05:00,2022-09-07 00:30:00-05:00,8.0
September,09/06/2022,06:00:00,09/06/2022,06:22:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-09-06 06:00:00-05:00,2022-09-06 06:22:00-05:00,0.36666666666666664
September,09/06/2022,10:34:00,09/06/2022,21:00:00,California: Sacramento County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,Unknown,0,2022,,2022-09-06 10:34:00-05:00,2022-09-06 21:00:00-05:00,10.433333333333334
September,09/06/2022,16:00:00,09/06/2022,21:00:00,California: Shasta County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Severe Weather,272,44000,2022,,2022-09-06 16:00:00-05:00,2022-09-06 21:00:00-05:00,5.0
September,09/06/2022,19:20:00,09/06/2022,21:01:00,Idaho: Oregon:,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,Unknown,Unknown,2022,,2022-09-06 19:20:00-05:00,2022-09-06 21:01:00-05:00,1.6833333333333333
September,09/06/2022,17:00:00,09/06/2022,20:00:00,"Nevada: Clark County, Washoe County;",WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,8800,1300000,2022,,2022-09-06 17:00:00-05:00,2022-09-06 20:00:00-05:00,3.0
September,09/07/2022,13:45:00,09/07/2022,19:00:00,Florida: Alachua County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Cyber Event,0,0,2022,,2022-09-07 13:45:00-05:00,2022-09-07 19:00:00-05:00,5.25
September,09/07/2022,11:31:00,09/07/2022,21:00:00,California: Sacramento County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,Unknown,0,2022,,2022-09-07 11:31:00-05:00,2022-09-07 21:00:00-05:00,9.483333333333333
September,09/07/2022,13:00:00,Unknown,Unknown,California: Imperial County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,2022,,2022-09-07 13:00:00-05:00,,
September,09/07/2022,17:00:00,09/07/2022,20:00:00,"Nevada: Clark County, Washoe County;",WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,8600,1300000,2022,,2022-09-07 17:00:00-05:00,2022-09-07 20:00:00-05:00,3.0
September,09/07/2022,16:00:00,09/07/2022,21:00:00,California: Shasta County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Severe Weather,257,44000,2022,,2022-09-07 16:00:00-05:00,2022-09-07 21:00:00-05:00,5.0
September,09/08/2022,10:52:00,09/09/2022,21:00:00,California: Sacramento County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,Unknown,0,2022,,2022-09-08 10:52:00-05:00,2022-09-09 21:00:00-05:00,34.13333333333333
September,09/08/2022,11:54:00,09/08/2022,21:00:00,California: Shasta County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Severe Weather,258,44000,2022,,2022-09-08 11:54:00-05:00,2022-09-08 21:00:00-05:00,9.1
September,09/08/2022,17:00:00,09/08/2022,20:00:00,"Nevada: Clark County, Washoe County;",WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,8250,1300000,2022,,2022-09-08 17:00:00-05:00,2022-09-08 20:00:00-05:00,3.0
September,09/09/2022,16:00:00,09/09/2022,21:00:00,California: Shasta County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Severe Weather,257,44000,2022,,2022-09-09 16:00:00-05:00,2022-09-09 21:00:00-05:00,5.0
September,09/10/2022,22:30:00,09/10/2022,22:31:00,Indiana: Spencer County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown,2022,,2022-09-10 22:30:00-05:00,2022-09-10 22:31:00-05:00,0.016666666666666666
September,09/11/2022,18:19:00,09/11/2022,22:28:00,Texas: Fayette County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2022,,2022-09-11 18:19:00-05:00,2022-09-11 22:28:00-05:00,4.15
September,09/13/2022,19:55:00,09/13/2022,20:01:00,Texas: El Paso County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,0,0,2022,,2022-09-13 19:55:00-05:00,2022-09-13 20:01:00-05:00,0.1
September,09/15/2022,19:52:00,09/15/2022,21:31:00,Texas: Fayette County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2022,,2022-09-15 19:52:00-05:00,2022-09-15 21:31:00-05:00,1.65
September,09/16/2022,18:30:00,09/16/2022,23:15:00,Oregon: Multnomah County; Washington: Clark County;,WECC,Complete loss of Interpersonal Communication and Alternative Interpersonal Communication capability affecting its staffed Bulk Electric System control center for 30 continuous minutes or more.,Transmission Interruption,0,0,2022,,2022-09-16 18:30:00-05:00,2022-09-16 23:15:00-05:00,4.75
September,09/16/2022,18:00:00,09/16/2022,18:01:00,Utah:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0,2022,,2022-09-16 18:00:00-05:00,2022-09-16 18:01:00-05:00,0.016666666666666666
September,09/21/2022,16:19:00,09/21/2022,18:01:00,Texas: Louisiana: Arkansas: Jefferson County; Mississippi:,TRE/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,1521,2022,,2022-09-21 16:19:00-05:00,2022-09-21 18:01:00-05:00,1.7
September,09/22/2022,03:58:00,09/22/2022,04:00:00,"Florida: Pinellas County, Pasco County, Orange County, Lake County;",SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,Unknown,Unknown,2022,,2022-09-22 03:58:00-05:00,2022-09-22 04:00:00-05:00,0.03333333333333333
September,09/22/2022,10:02:00,09/22/2022,11:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1,0,2022,,2022-09-22 10:02:00-05:00,2022-09-22 11:00:00-05:00,0.9666666666666667
September,09/23/2022,10:10:00,09/23/2022,11:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,2,0,2022,,2022-09-23 10:10:00-05:00,2022-09-23 11:00:00-05:00,0.8333333333333334
September,09/27/2022,08:42:00,09/27/2022,10:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1,0,2022,,2022-09-27 08:42:00-05:00,2022-09-27 10:00:00-05:00,1.3
September,09/28/2022,15:00:00,10/03/2022,15:53:00,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,676000,2022,,2022-09-28 15:00:00-05:00,2022-10-03 15:53:00-05:00,120.88333333333334
September,09/28/2022,18:00:00,09/30/2022,15:20:00,Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,1000,116937,2022,,2022-09-28 18:00:00-05:00,2022-09-30 15:20:00-05:00,45.333333333333336
September,09/28/2022,15:00:00,Unknown,Unknown,"Florida: Hillsborough County, Polk County, Pasco County, Pinellas County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,750,291361,2022,,2022-09-28 15:00:00-05:00,,
September,09/29/2022,04:00:00,10/03/2022,00:00:00,"Florida: Orange County, Osceola County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,0,2022,,2022-09-29 04:00:00-05:00,2022-10-03 00:00:00-05:00,92.0
September,09/29/2022,03:27:00,Unknown,Unknown,Florida: Polk County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,150,15797,2022,,2022-09-29 03:27:00-05:00,,
September,09/30/2022,18:30:00,10/01/2022,18:36:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,154100,2022,,2022-09-30 18:30:00-05:00,2022-10-01 18:36:00-05:00,24.1
September,09/30/2022,13:46:00,09/30/2022,18:09:00,South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,108930,2022,,2022-09-30 13:46:00-05:00,2022-09-30 18:09:00-05:00,4.383333333333334
September,09/30/2022,02:45:00,10/01/2022,16:15:00,North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,48323,2022,,2022-09-30 02:45:00-05:00,2022-10-01 16:15:00-05:00,37.5
September,09/30/2022,11:00:00,09/30/2022,12:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,2,0,2022,,2022-09-30 11:00:00-05:00,2022-09-30 12:00:00-05:00,1.0
October,10/03/2022,06:00:00,10/04/2022,07:00:00,Alabama: Barbour County; Virginia:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious activity,0,0,2022,,2022-10-03 06:00:00-05:00,2022-10-04 07:00:00-05:00,25.0
October,10/03/2022,13:45:00,10/03/2022,14:30:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1,0,2022,,2022-10-03 13:45:00-05:00,2022-10-03 14:30:00-05:00,0.75
October,10/08/2022,16:23:00,10/08/2022,16:50:00,New York: Queens County;,NPCC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Suspicious activity,100,0,2022,,2022-10-08 16:23:00-05:00,2022-10-08 16:50:00-05:00,0.45
October,10/10/2022,15:50:00,10/10/2022,16:05:00,Texas: Louisiana: Arkansas: Pope County; Mississippi:,TRE/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,0,2022,,2022-10-10 15:50:00-05:00,2022-10-10 16:05:00-05:00,0.25
October,10/13/2022,10:00:00,10/13/2022,11:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1,0,2022,,2022-10-13 10:00:00-05:00,2022-10-13 11:00:00-05:00,1.0
October,10/14/2022,13:15:00,10/14/2022,17:45:00,Connecticut: Massachusetts: Maine: Rhode Island: New Hampshire: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Sever Weather,Unknown,76388,2022,,2022-10-14 13:15:00-05:00,2022-10-14 17:45:00-05:00,4.5
October,10/14/2022,13:30:00,Unknown ,Unknown,Texas: Bee County;,RE ,Reportable Cyber Security Incident,Cyber Event,0,0,2022,,2022-10-14 13:30:00-05:00,,
October,10/15/2022,09:52:00,10/15/2022,10:23:00,Arizona: Maricopa County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-10-15 09:52:00-05:00,2022-10-15 10:23:00-05:00,0.5166666666666667
October,10/15/2022,20:04:00,10/18/2022,16:03:00,Louisiana: Lafourche Parish;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,69,16225,2022,,2022-10-15 20:04:00-05:00,2022-10-18 16:03:00-05:00,67.98333333333333
October,10/18/2022,15:12:00,Unknown ,Unknown,Texas: Louisiana: Arkansas: Pope County; Mississippi:,TRE/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,Unknown,2022,,2022-10-18 15:12:00-05:00,,
October,10/21/2022,11:15:00,10/21/2022,11:18:00,California: Trinity County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious activity,0,0,2022,,2022-10-21 11:15:00-05:00,2022-10-21 11:18:00-05:00,0.05
October,10/24/2022,00:00:00,10/28/2022,00:00:00,Massachusetts: Essex County[13];,NPCC,Reportable Cyber Security Incident,Cyber Event,0,0,2022,,2022-10-24 00:00:00-05:00,2022-10-28 00:00:00-05:00,96.0
October,10/24/2022,16:29:00,10/24/2022,18:05:00,Texas: New Mexico: Chaves County;,TRE/WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,34,7551,2022,,2022-10-24 16:29:00-05:00,2022-10-24 18:05:00-05:00,1.6
October,10/25/2022,01:45:00,10/25/2022,13:50:00,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",System Operations,Unknown,109865,2022,,2022-10-25 01:45:00-05:00,2022-10-25 13:50:00-05:00,12.083333333333334
October,10/26/2022,19:32:00,10/26/2022,20:38:00,Texas:,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-10-26 19:32:00-05:00,2022-10-26 20:38:00-05:00,1.1
October,10/27/2022,00:01:00,10/27/2022,13:00:00,Arkansas:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,0,2022,,2022-10-27 00:01:00-05:00,2022-10-27 13:00:00-05:00,12.983333333333333
October,10/28/2022,14:16:00,10/28/2022,15:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,2,0,2022,,2022-10-28 14:16:00-05:00,2022-10-28 15:00:00-05:00,0.7333333333333333
October,10/31/2022,21:14:00,10/31/2022,22:14:00,Louisiana:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious activity,Unknown,0,2022,,2022-10-31 21:14:00-05:00,2022-10-31 22:14:00-05:00,1.0
November,11/02/2022,15:11:00,11/02/2022,15:25:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-11-02 15:11:00-05:00,2022-11-02 15:25:00-05:00,0.23333333333333334
November,11/03/2022,12:07:00,11/03/2022,14:24:00,Washington: Douglas County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2022,,2022-11-03 12:07:00-05:00,2022-11-03 14:24:00-05:00,2.283333333333333
November,11/04/2022,20:05:00,11/07/2022,09:00:00,"Washington: Island County, King County, Kittitas County, Thurston County, Kitsap County, Pierce County, Skagit County, Whatcom County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,214000,2022,,2022-11-04 20:05:00-05:00,2022-11-07 09:00:00-06:00,61.916666666666664
November,11/05/2022,13:00:00,11/08/2022,07:00:00,"Michigan: Kalamazoo County, Kent County, Calhoun County, Genesee County, Ottawa County, Muskegon County, Eaton County, Saginaw County, Van Buren County, Hillsdale County, Shiawassee County, Jackson County, Lenawee County, Branch County, Montcalm County, Monroe County, Manistee County, Roscommon County, Clinton County, Ingham County, Gladwin County, Arenac County, Ogemaw County, Iosco County, Alcona County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,158450,2022,,2022-11-05 13:00:00-05:00,2022-11-08 07:00:00-06:00,67.0
November,11/05/2022,19:57:00,Unknown,Unknown,"Michigan: Oakland County, Wayne County, Monroe County, Lapeer County, St. Clair County, Washtenaw County, Macomb County, Tuscola County, Sanilac County, Huron County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,53000,2022,,2022-11-05 19:57:00-05:00,,
November,11/05/2022,19:00:00,Unknown,Unknown,Wisconsin:,MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,50000,2022,,2022-11-05 19:00:00-05:00,,
November,11/08/2022,15:48:00,11/08/2022,16:21:00,Texas: Hockley County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2022,,2022-11-08 15:48:00-06:00,2022-11-08 16:21:00-06:00,0.55
November,11/10/2022,11:07:00,11/10/2022,12:00:00,Arkansas: Pulaski County;,SERC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,Generation Inadequacy,0,0,2022,,2022-11-10 11:07:00-06:00,2022-11-10 12:00:00-06:00,0.8833333333333333
November,11/10/2022,06:00:00,11/11/2022,08:47:00,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,160000,2022,,2022-11-10 06:00:00-06:00,2022-11-11 08:47:00-06:00,26.783333333333335
November,11/11/2022,01:00:00,11/11/2022,05:00:00,California: San Bernardino County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,Unknown,2022,,2022-11-11 01:00:00-06:00,2022-11-11 05:00:00-06:00,4.0
November,11/11/2022,01:41:00,11/14/2022,14:00:00,Ohio: Knox County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,7,1775,2022,,2022-11-11 01:41:00-06:00,2022-11-14 14:00:00-06:00,84.31666666666666
November,11/15/2022,10:17:00,11/15/2022,11:06:00,Massachusetts: Hampden County[13];,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-11-15 10:17:00-06:00,2022-11-15 11:06:00-06:00,0.8166666666666667
November,11/15/2022,01:00:00,11/15/2022,06:00:00,Oregon: Josephine County; Washington: Idaho: Utah: Wyoming:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2022,,2022-11-15 01:00:00-06:00,2022-11-15 06:00:00-06:00,5.0
November,11/18/2022,04:30:00,11/18/2022,04:59:00,Washington: Cowlitz County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,3,1454,2022,,2022-11-18 04:30:00-06:00,2022-11-18 04:59:00-06:00,0.48333333333333334
November,11/22/2022,10:01:00,11/22/2022,10:43:00,Maine: Penobscot County;,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-11-22 10:01:00-06:00,2022-11-22 10:43:00-06:00,0.7
November,11/23/2022,07:03:00,11/23/2022,08:57:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-11-23 07:03:00-06:00,2022-11-23 08:57:00-06:00,1.9
November,11/23/2022,10:15:00,11/23/2022,14:09:00,Washington: Pierce County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack/Vandalism,0,0,2022,,2022-11-23 10:15:00-06:00,2022-11-23 14:09:00-06:00,3.9
November,11/23/2022,12:46:00,11/23/2022,13:19:00,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-11-23 12:46:00-06:00,2022-11-23 13:19:00-06:00,0.55
November,11/23/2022,09:30:00,Unknown,Unknown,Maryland: Delaware: New Jersey: Pennsylvania: Illinois: District of Columbia:,RF,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,Unknown,Unknown,2022,,2022-11-23 09:30:00-06:00,,
November,11/24/2022,01:40:00,11/24/2022,01:45:00,Oregon: Clackamas County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2022,,2022-11-24 01:40:00-06:00,2022-11-24 01:45:00-06:00,0.08333333333333333
November,11/25/2022,05:00:00,11/25/2022,08:00:00,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,0,0,2022,,2022-11-25 05:00:00-06:00,2022-11-25 08:00:00-06:00,3.0
November,11/27/2022,17:28:00,11/27/2022,23:58:00,Maryland: Montgomery County;,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Transmission Interruption,190,87500,2022,,2022-11-27 17:28:00-06:00,2022-11-27 23:58:00-06:00,6.5
November,11/28/2022,01:08:00,11/28/2022,02:24:00,Oregon: Clackamas County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack/Vandalism,Unknown,6337,2022,,2022-11-28 01:08:00-06:00,2022-11-28 02:24:00-06:00,1.2666666666666666
November,11/30/2022,18:45:00,12/02/2022,04:00:00,Maine: Massachusetts: Connecticut: Rhode Island: Vermont: New Hampshire:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,113,113000,2022,,2022-11-30 18:45:00-06:00,2022-12-02 04:00:00-06:00,33.25
November,11/30/2022,02:37:00,11/30/2022,06:10:00,New York: Broome County;,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2022,,2022-11-30 02:37:00-06:00,2022-11-30 06:10:00-06:00,3.55
November,11/30/2022,03:35:00,11/30/2022,09:10:00,Alabama: Mississippi: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,386,54110,2022,,2022-11-30 03:35:00-06:00,2022-11-30 09:10:00-06:00,5.583333333333333
December,12/03/2022,19:51:00,Unknown,Unknown,North Carolina: Moore County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,99,45000,2022,,2022-12-03 19:51:00-06:00,,
December,12/05/2022,18:20:00,12/05/2022,18:55:00,Pennsylvania: York County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-12-05 18:20:00-06:00,2022-12-05 18:55:00-06:00,0.5833333333333334
December,12/05/2022,09:00:00,12/05/2022,13:00:00,New York: Orange County;,NPCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2022,,2022-12-05 09:00:00-06:00,2022-12-05 13:00:00-06:00,4.0
December,12/06/2022,09:25:00,Unknown,Unknown,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-12-06 09:25:00-06:00,,
December,12/06/2022,08:26:00,12/06/2022,08:30:00,Kentucky: Jefferson County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0,2022,,2022-12-06 08:26:00-06:00,2022-12-06 08:30:00-06:00,0.06666666666666667
December,12/06/2022,00:00:00,12/06/2022,00:01:00,Georgia: Heard County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-12-06 00:00:00-06:00,2022-12-06 00:01:00-06:00,0.016666666666666666
December,12/06/2022,00:00:00,12/06/2022,00:01:00,Georgia: Bartow County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-12-06 00:00:00-06:00,2022-12-06 00:01:00-06:00,0.016666666666666666
December,12/06/2022,12:45:00,Unknown,Unknown,Ohio:,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,2600,Unknown,2022,,2022-12-06 12:45:00-06:00,,
December,12/06/2022,08:15:00,12/06/2022,12:15:00,Pennsylvania:,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,1883,Unknown,2022,,2022-12-06 08:15:00-06:00,2022-12-06 12:15:00-06:00,4.0
December,12/07/2022,13:35:00,12/07/2022,13:40:00,Illinois: Cook County;,SERC/RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-12-07 13:35:00-06:00,2022-12-07 13:40:00-06:00,0.08333333333333333
December,12/07/2022,16:42:00,12/07/2022,21:00:00,North Carolina: South Carolina:,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-12-07 16:42:00-06:00,2022-12-07 21:00:00-06:00,4.3
December,12/08/2022,12:36:00,Unknown,Unknown,Indiana: Vigo County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2022,,2022-12-08 12:36:00-06:00,,
